datetime       PBR  vol_F2_added    O2       Temp
20170926-0730  0      0               222.0     23.01
20170926-0734  1      145             207.2     25.01
20170926-0738  2     100              204.3     25.07
20170926-0741  3      130             304.7     24.39
20170926-0711  4     170              195.2     24.62
20170926-1407  0      0               2000.0    24.
20170926-1407  1      0               217.9     27.47
20170926-1409  2      0               224.0     26.71
20170926-1531  3      0               249.2     25.45
20170926-1414  4      0               246.1     26.15
20170927-0720  0      0               220.3     23.73
20170927-0727  2     160              202       25.94
20170927-0731  3     215              203       25.6
20170927-0734  4     200              203.5     25.37
20170927-1424  2     0                214.6     26.05
20170927-1411  3     0                242.6     25.46 
20170927-1429  4     0                246.3     25.56
20170928-0738  0     0                216.4     24.15
20170928-0724  2     135              197.0     26.13
20170928-0728  3     190              192.1     26.06
20170928-0734  4     185              195.1     25.34
20170928-1348  2     0                220.0     26.29
20170928-1501  3     0                243.5     24.93
20170928-1351  4     0                246.3     25.29
20170929-0700  0     0                217.0     23.95
20170929-0719  2     165              204.2     26.20
20170929-0724  3     175              206.9     25.08
20170929-0728  4     180              204.6     24.83
20170929-1000  2     0                242.6     26.20
20170929-1000  3     0                224.8     25.08
20170929-1000  4     0                232.4     24.83
20170929-1411  2     0                223.4     26.63
20170929-1415  3     0                244.7     26.50
20170929-1417  4     0                240.4     26.44
